Dealer,Order Type,Exterior Material,Cabinet Interior,Drawer Box Type,Drawer Glide,Door Style,Finish Options,Number of Cabinets
2,Kitchen Traditions,Cherry Select,"55 Maple Melamine, Hard Rock","Grass Elite, Full Extension, Undermount, Soft Close",5 Piece Solid Wood,Stain (LCWS),1
3,Kitchen Traditions,"Maple, Paint Grade",None,None,5 Piece Solid Wood,"Glaze, Standard (LCG), Paint (LCTS or LCP), 220 Scuff",1
1,The Flooring Place and Design Gallery,CLEAF SO64 Ela Engadina/Maloja,06 Black Melamine,"Grass Elite, Full Extension, Undermount, Soft Close","5 Piece Melamine, Laminate, Acrylic (2 1/2"" Stile and Rail)",,6
3,Homestead Woods,"Melamine, Textured, Specify color in notes. Use only with Homestead permission",None,None,"Vertical Grain, Melamine, Laminate, Acrylic",,1
2,Aspen Cabinets LLC,"Paint grade maple frame, MDF/HDF panel","55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Glaze, Standard (LCG), Paint (LCTS or LCP)",3
2,Vail Cabinets,Walnut Select,701 American Black Walnut Melamine,"PRO600 Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Spray or Dye Stain (LCSS, LCTG, or LCDS), Glaze, Standard (LCG)",3
2,CBNT Co.,Alder Select,"55 Maple Melamine, Hard Rock","PRO600 Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Stain (LCWS), Glaze, Standard (LCG)",1
1,CBNT Co.,Walnut Select,34 Pepper Dust Melamine,"Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,Stain (LCWS),27
2,CBNT Co.,Walnut Select,371 Medium Sycamore Melamine,"Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,Natural,1
1,New Mountain Design,"Maple, Select, Hard",04 Natural Maple Melamine,"Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Stain (LCWS), Grain popper",16
3,Inspire,"Oak, White, Select Plain Sliced",None,None,"Veneer, Vertical Grain",Natural,2
2,Vail Cabinets,"Black 8421, Gloss",06 Black Melamine,"Blum Full Extension, Undermount, Soft Close","Solid Color, Melamine, Laminate, Acrylic",,2
1,Homestead Woods,Walnut Select,108 Folkstone Melamine,"Blum Full Extension, Undermount, Soft Close","Veneer, Horizontal Grain",,2
2,The Flooring Place and Design Gallery,"Paint grade maple frame, MDF/HDF panel",291 White Melamine,"PRO600 Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Glaze, Standard (LCG), Paint (LCTS or LCP)",4
2,Inspire,"Oak, White, Select Rift Cut",663 Chocolate Apple Melamine,"Blum Full Extension, Undermount, Soft Close",!5 Piece B-Series (Select only B profiles),"Stain (LCWS), 220 Scuff, Grain popper",2
3,Aspen Cabinets LLC,Egger H1176 White Halifax Oak (5x9),None,None,"Vertical Grain, Melamine, Laminate, Acrylic",,2
1,New Mountain Design,"!Fir, Grey Corral Board, Thin Cut for ply edge door *SPECIAL ORDER*","55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close","Slab, Reclaimed Woods only, Solid Wood Face, Vertical Grain, Eng Core, Ply Edge",Stain (LCWS),11
1,Vail Cabinets,"Oak, White, Select Rift Cut","55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Glaze, Standard (LCG)",26
1,Olivier Design,Alder Select,"55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Stain (LCWS), Glaze, Standard (LCG)",11
1,Distinctive Cabinetry,Paint grade HDF,291 White Melamine,"PRO600 Full Extension, Undermount, Soft Close",One Piece HDF,Paint (LCTS or LCP),30
1,Domestic Habitat,Paint grade HDF,"55 Maple Melamine, Hard Rock","PRO600 Full Extension, Undermount, Soft Close","5 Piece HDF, Paint Only",Paint (LCTS or LCP),22
1,Cabinets West,Alder Rustic,291 White Melamine,"Blum Full Extension, Undermount, Soft Close","Veneer, Vertical Grain",,1
1,CBNT Co.,Alder Rustic,371 Medium Sycamore Melamine,"Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Glaze, Standard (LCG)",35
2,Space Home Outfitters,"Paint grade maple frame, MDF/HDF panel",Prism Linen Melamine,"PRO600 Full Extension, Undermount, Soft Close","5 Piece HDF, Paint Only","Glaze, Standard (LCG), Paint (LCTS or LCP)",2
1,Cabinets West,Egger H3157 Vicenza Oak (5x9),"Egger H3157 Vicenza Oak (5x9), Interior","Blum Full Extension, Undermount, Soft Close","Vertical Grain, Melamine, Laminate, Acrylic",,3
1,Distinctive Cabinetry,Maverik Old Mill Oak,291 White Melamine,"PRO600 Full Extension, Undermount, Soft Close","Laminate, Horizontal Grain Maverik",,6
3,KM Design,"Oak, White, Select Rift Cut",None,None,5 Piece Solid Wood,"Stain (LCWS), Glaze, Standard (LCG)",1
3,Vail Cabinets,Alder Rustic,None,None,5 Piece Solid Wood,"Stain (LCWS), Glaze, Standard (LCG), Brushing - Medium, Streaking - Light",1
3,Inspire,Walnut Select,None,None,"Veneer, Vertical Grain",Natural,1
2,Inspire,"Mirlux Light Grey (PET) , Matte",108 Folkstone Melamine,"PRO600 Full Extension, Undermount, Soft Close","Solid Color, Melamine, Laminate, Acrylic",,2
3,The Flooring Place and Design Gallery,Paint grade HDF,None,None,"HDF Slab, Paint only",Paint (LCTS or LCP),1
2,New Mountain Design,"Melamine, Specify Color in Notes",108 Folkstone Melamine,"Blum Full Extension, Undermount, Soft Close","Solid Color, Melamine, Laminate, Acrylic",,2
1,Inspire,"Paint grade maple frame, MDF/HDF panel","55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Glaze, Standard (LCG), Paint (LCTS or LCP)",57
2,New Mountain Design,Alder Select,"Sandy Seashell, Tru North Textured","Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Stain (LCWS), Glaze, Standard (LCG), 220 Scuff",6
1,JM Kitchen and Bath Design,Paint grade HDF,"55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close","HDF Slab, Paint only",Paint (LCTS or LCP),51
3,Inspire,"LAB Design Laminate, Group 1, Natural Olive WX045 LS Solid Desert Beige backer (Matte) (Special Order), (Call for availability)",None,None,"Vertical Grain, Melamine, Laminate, Acrylic",,2
2,Inspire,"Oak, White, Select Rift Cut","55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close","Veneer, Vertical Grain","Stain (LCWS), Glaze, Standard (LCG), 220 Scuff",11
3,Homestead Woods,Alder Rustic,None,None,5 Piece Solid Wood,"Glaze, Standard (LCG), Paint (LCTS or LCP), Rub through - medium",2
3,Vail Cabinets,"Paint grade maple frame, MDF/HDF panel",None,None,5 Piece Solid Wood,"Glaze, Heavy Hangup (LCG), Paint (LCTS or LCP), 220 Scuff",2
3,Inspire,Paint grade HDF,None,None,5 Piece Solid Wood,Paint (LCTS or LCP),1
1,Distinctive Cabinetry,Maverik Old Mill Oak,291 White Melamine,"PRO600 Full Extension, Undermount, Soft Close","Laminate, Horizontal Grain Maverik",,1
2,CBNT Co.,Alder Select,108 Folkstone Melamine,"Blum Full Extension, Undermount, Soft Close","Veneer, Vertical Grain","Stain (LCWS), Glaze, Standard (LCG)",5
2,Inspire,"Walnut, Select, Quarter Sawn","55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Stain (LCWS), Spray or Dye Stain (LCSS, LCTG, or LCDS), Glaze, Standard (LCG), Brushing - Medium",1
3,Vail Cabinets,Paint grade HDF,"55 Maple Melamine, Hard Rock","PRO600 Full Extension, Undermount, Soft Close",One Piece HDF,Paint (LCTS or LCP),1
3,Vail Cabinets,Egger H3342 Sepia Gladstone Oak (5x9),None,None,"Vertical Grain, Melamine, Laminate, Acrylic",,1
1,New Mountain Design,SALT GSDE6-Mahnolia Linen,108 Folkstone Melamine,"Blum Full Extension, Undermount, Soft Close","Solid Color, Melamine, Laminate, Acrylic",,10
1,JM Kitchen and Bath Design,CLEAF LM17 Noce Daniella Matrix/Matrix,06 Black Melamine,"Blum Full Extension, Undermount, Soft Close","Vertical Grain, Melamine, Laminate, Acrylic",,28
3,Blush Kitchens,Alder Rustic,None,None,5 Piece Solid Wood,"Spray or Dye Stain (LCSS, LCTG, or LCDS), Glaze, Standard (LCG), Rub through - Light",2
1,The Flooring Place and Design Gallery,Paint grade HDF,"55 Maple Melamine, Hard Rock","PRO600 Full Extension, Undermount, Soft Close","HDF Slab, Paint only",Paint (LCTS or LCP),16
1,Inspire,Veneer $600 *SPECIAL ORDER*,371 Medium Sycamore Melamine,"Blum Full Extension, Undermount, Soft Close","Veneer, Vertical Grain","Stain (LCWS), Glaze, Standard (LCG)",3
3,Domestic Habitat,"Paint grade maple frame, MDF/HDF panel",None,None,5 Piece Solid Wood,Paint (LCTS or LCP),1
2,The Flooring Place and Design Gallery,"Oak, White, AA-Blonde European Rift Cut, Veneer Only","55 Maple Melamine, Hard Rock","PRO600 Full Extension, Undermount, Soft Close","Veneer, Horizontal Grain","Stain (LCWS), Glaze, Standard (LCG)",1
3,Inspire,Alder Select,None,None,5 Piece Solid Wood,"Stain (LCWS), Glaze, Standard (LCG), 220 Scuff",1
1,JM Kitchen and Bath Design,!CLEAF LK84 Oregon Pine,"55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close","Vertical Grain, Melamine, Laminate, Acrylic",,27
3,Domestic Habitat,Paint grade HDF,None,None,"5 Piece HDF, Paint Only",Paint (LCTS or LCP),2
3,Kitchen Traditions,"Oak, White European Select Rift Cut, Veneer Only",None,None,"Veneer, Vertical Grain",Stain (LCWS),1
3,KM Design,Alder Select,None,None,5 Piece Solid Wood,"Stain (LCWS), Glaze, Standard (LCG)",1
2,Inspire,"Paint grade maple frame, MDF/HDF panel","55 Maple Melamine, Hard Rock","PRO600 Full Extension, Undermount, Soft Close",5 Piece Solid Wood,Paint (LCTS or LCP),3
1,Distinctive Cabinetry,Maverik Old Mill Oak,291 White Melamine,"PRO600 Full Extension, Undermount, Soft Close","Laminate, Horizontal Grain Maverik",,5
2,CBNT Co.,Alder Select,108 Folkstone Melamine,"Blum Full Extension, Undermount, Soft Close","Veneer, Vertical Grain","Stain (LCWS), Glaze, Standard (LCG)",3
3,Inspire,Alder Rustic,None,None,5 Piece Solid Wood,"Glaze, Standard (LCG)",2
3,Inspire,"Paint grade maple frame, MDF/HDF panel",None,None,5 Piece Solid Wood,Paint (LCTS or LCP),1
1,Distinctive Cabinetry,Maverik Old Mill Oak,291 White Melamine,"PRO600 Full Extension, Undermount, Soft Close","Laminate, Horizontal Grain Maverik",,5
2,Homestead Woods,Paint grade HDF,136 Storm Grey Melamine,"Blum Full Extension, Undermount, Soft Close","5 Piece HDF, Paint Only",Paint (LCTS or LCP),1
2,Plush Designs,Alder Rustic,371 Medium Sycamore Melamine,"Blum Full Extension, Undermount, Soft Close","Durango (7/8"" or 1"" thick)","Glaze, Standard (LCG), Paint (LCTS or LCP), Rub through - medium",3
3,KM Design,"Fir, Grey Corral Board, Reclaimed *SPECIAL ORDER*",None,None,"Slab, Reclaimed Woods only, Solid Wood Face, Vertical Grain, Eng Core, Ply Edge","Stain (LCWS), Glaze, Standard (LCG)",1
2,Distinctive Cabinetry,Maverik Red (Wild Cherry),291 White Melamine,"PRO600 Full Extension, Undermount, Soft Close","Laminate, Vertical Grain Maverik",,1
1,Distinctive Cabinetry,Maverik Old Mill Oak,291 White Melamine,"PRO600 Full Extension, Undermount, Soft Close","Laminate, Horizontal Grain Maverik",,8
2,Plush Designs,Alder Select,04 Natural Maple Melamine,"PRO600 Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Stain (LCWS), Glaze, Standard (LCG)",2
3,The Flooring Place and Design Gallery,SALT GS98R - Panna / CLEAF LK84 Oregon Pine Matrix/Matrix,None,None,"Vertical Grain, Melamine, Laminate, Acrylic",,1
1,Homestead Cabinet & Furniture,CLEAF LK44 Noce Leuca,701 American Black Walnut Melamine,"Blum Full Extension, Undermount, Soft Close","Horizontal Grain, Melamine, Laminate, Acrylic",,13
3,Inspire,"Oak, White, Rustic Plain Sliced",None,None,"Veneer, Vertical Grain","Stain (LCWS), Glaze, Standard (LCG)",2
2,Caruso Kitchens,Paint grade HDF,"55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close","5 Piece HDF, Paint Only",Paint (LCTS or LCP),1
3,Inspire,Paint grade HDF,None,None,"5 Piece HDF, Paint Only",Paint (LCTS or LCP),2
2,The Flooring Place and Design Gallery,"Melamine, Specify Color in Notes",291 White Melamine,"PRO600 Full Extension, Undermount, Soft Close","Solid Color, Melamine, Laminate, Acrylic",,4
2,Inspire,"Paint grade maple frame, MDF/HDF panel","55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,Paint (LCTS or LCP),1
1,KM Design,Paint grade HDF,136 Storm Grey Melamine,"Blum Full Extension, Undermount, Soft Close","HDF Slab, Paint only",Paint (LCTS or LCP),18
3,Kitchen Traditions,Walnut Select,None,None,"Veneer, Vertical Grain",Stain (LCWS),2
2,The Flooring Place and Design Gallery,"Melamine, Specify Color in Notes",291 White Melamine,"PRO600 Full Extension, Undermount, Soft Close","Solid Color, Melamine, Laminate, Acrylic",,9
1,Space Home Outfitters,SALT GSDF5 - Rustic Oak,108 Folkstone Melamine,"Blum Full Extension, Undermount, Soft Close","Horizontal Grain, Melamine, Laminate, Acrylic",,16
3,Vail Cabinets,"Paint grade maple frame, MDF/HDF panel",None,None,5 Piece Solid Wood,Paint (LCTS or LCP),1
1,The Flooring Place and Design Gallery,Walnut Select,291 White Melamine,"Blum Full Extension, Undermount, Soft Close","Veneer, Horizontal Grain",Natural,2
3,Aspen Cabinets LLC,"Paint grade maple frame, MDF/HDF panel",None,None,5 Piece Solid Wood,"Glaze, Standard (LCG), Paint (LCTS or LCP)",2
3,Aspen Cabinets LLC,"Oak, White, Rustic Plain Sliced",None,None,"Veneer, Horizontal Grain","Spray or Dye Stain (LCSS, LCTG, or LCDS)",2
1,Inspire,"Paint grade maple frame, MDF/HDF panel","55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,Paint (LCTS or LCP),43
2,Inspire,SALT SM4565 - Olmo Miele - SM'art,"55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close","Vertical Grain, Melamine, Laminate, Acrylic",,2
3,Grand Valley Kitchen & Bath,"Oak, White European Select Rift Cut, Veneer Only",None,None,"Veneer, Vertical Grain",Natural,1
3,Aspen Cabinets LLC,"Maple, Paint Grade",None,None,5 Piece Solid Wood,Paint (LCTS or LCP),2
2,Inspire,Walnut Select,"55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Stain (LCWS), Spray or Dye Stain (LCSS, LCTG, or LCDS), Glaze, Standard (LCG), Grain popper",1
3,Aspen Cabinets LLC,"Paint grade maple frame, MDF/HDF panel",None,None,5 Piece Solid Wood,"Glaze, Standard (LCG), Paint (LCTS or LCP)",1
3,Blush Kitchens,"Oak, White, Select Rift Cut",None,None,Applied Molding on 5 Piece Door,"Stain (LCWS), Glaze, Standard (LCG), 220 Scuff",2
1,Distinctive Cabinetry,Paint grade HDF,291 White Melamine,"PRO600 Full Extension, Undermount, Soft Close","5 Piece HDF, Paint Only",Paint (LCTS or LCP),18
2,JM Kitchen and Bath Design,"Oak, White, Select Rift Cut","Rift Sawn white oak, A1, Homestead Stain Finish, (AA-Euro rift grade)","Blum Full Extension, Undermount, Soft Close","Veneer, Vertical Grain",Stain (LCWS),1
3,Flashman Design,Paint grade HDF,None,None,One Piece HDF,Unfinished **NO WARRANTY**,3
3,CBNT Co.,"LAB Design Laminate, Group 3, Weathered Planet PM160, Solid matching backer (Special Order), (Call for availability)",None,None,"Vertical Grain, Melamine, Laminate, Acrylic",,1
3,Vail Cabinets,Paint grade HDF,None,None,"HDF Slab, Paint only",Paint (LCTS or LCP),2
2,Jackson Hole Cabinets,Paint grade HDF,"55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close",One Piece HDF,Paint (LCTS or LCP),5
2,Olivier Design,"Paint grade maple frame, MDF/HDF panel","55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,Paint (LCTS or LCP),1
3,Le Gourmet Kitchen Ltd.,Alder Select,None,None,5 Piece Solid Wood,"Stain (LCWS), Spray or Dye Stain (LCSS, LCTG, or LCDS), Glaze, Standard (LCG), Brushing - Light",2
2,The Flooring Place and Design Gallery,Alder Rustic,"55 Maple Melamine, Hard Rock","PRO600 Full Extension, Undermount, Soft Close",5 Piece Solid Wood,Stain (LCWS),1
1,Creative Cabinetry,Hickory Rustic Calico,Pre finished Maple Plywood (Currently Special Order),"Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Glaze, Standard (LCG)",5
1,Distinctive Cabinetry,Paint grade HDF,291 White Melamine,"PRO600 Full Extension, Undermount, Soft Close",One Piece HDF,Paint (LCTS or LCP),15
3,Vail Cabinets,"Oak, White, Select Rift Cut",None,None,5 Piece Solid Wood,"Stain (LCWS), Glaze, Applied Hangup (LCG)",1
1,Homestead Woods,"Oak, White, Select Plain Sliced",Pre finished Maple Plywood (Currently Special Order),"Blum Full Extension, Undermount, Soft Close","Veneer, Horizontal Grain","One Pass Seal, Scuff",19
3,EuroContempo,"Oak, White European Select Rift Cut, Veneer Only",None,None,"Veneer, Vertical Grain","Stain (LCWS), Glaze, Standard (LCG), 220 Scuff, Grain popper",1
3,Inspire,"Oak, White, Select Rift Cut",None,None,"Herringbone, Eng Core, Veneer Edge","Spray or Dye Stain (LCSS, LCTG, or LCDS), Glaze, Standard (LCG), Second Stain",1
1,Aspen Cabinets LLC,!CLEAF LM69 City Oak,514 Silver Frost Melamine,"Blum Full Extension, Undermount, Soft Close","Vertical Grain, Melamine, Laminate, Acrylic",,65
2,Olivier Design,Alder Select,"55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Stain (LCWS), Glaze, Standard (LCG)",2
1,EuroContempo,"Oak, White European Select Rift Cut, Veneer Only",108 Folkstone Melamine,"Blum Full Extension, Undermount, Soft Close","Veneer, Horizontal Grain","Stain (LCWS), Glaze, Standard (LCG), 220 Scuff, Brushing - Light, Grain popper",13
1,Aspen Cabinets LLC,!CLEAF LM69 City Oak,514 Silver Frost Melamine,"Blum Full Extension, Undermount, Soft Close","Vertical Grain, Melamine, Laminate, Acrylic",,1
3,Inspire,Veneer $1300 *SPECIAL ORDER*,None,None,"Veneer, Vertical Grain",,1
1,Inspire,Alder Select,"55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Stain (LCWS), Glaze, Standard (LCG)",34
2,New Mountain Design,"Maple, Select, Hard","55 Maple Melamine, Hard Rock","PRO600 Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Stain (LCWS), Glaze, Standard (LCG)",1
3,KM Design,"Oak, White, Select Rift Cut",None,None,5 Piece Solid Wood,"Stain (LCWS), Powder(Dry) Glaze",3
1,Distinctive Cabinetry,Maverik Old Mill Oak,291 White Melamine,"PRO600 Full Extension, Undermount, Soft Close","Laminate, Horizontal Grain Maverik",,9
3,Grand Valley Kitchen & Bath,"Oak, White European Select Rift Cut, Veneer Only",None,None,"Veneer, Vertical Grain","Glaze, Standard (LCG)",1
1,Christophers K&B,Alder Rustic,"55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close","Durango (7/8"" or 1"" thick)","Stain (LCWS), Glaze, Standard (LCG), Brushing - Medium, Shadowing - Heavy",25
1,Grand Valley Kitchen & Bath,Paint grade HDF,04 Natural Maple Melamine,"Blum Full Extension, Undermount, Soft Close","5 Piece HDF, Paint Only",Paint (LCTS or LCP),54
2,Vail Cabinets,Alder Select,108 Folkstone Melamine,"Blum Full Extension, Undermount, Soft Close","Solid Color, Melamine, Laminate, Acrylic",,4
3,Homestead Cabinet & Furniture,Veneer $450 *SPECIAL ORDER*,None,None,"Veneer, Vertical Grain",Natural,1
1,CBNT Co.,"Oak, White, Rustic Plain Sliced","55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Stain (LCWS), Glaze, Standard (LCG)",6
2,Inspire,Paint grade HDF,"55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close","5 Piece HDF, Paint Only",Paint (LCTS or LCP),2
2,Inspire,"Mirlux Light Grey (PET) , Matte",108 Folkstone Melamine,"PRO600 Full Extension, Undermount, Soft Close","Solid Color, Melamine, Laminate, Acrylic",,1
1,Distinctive Cabinetry,Maverik Old Mill Oak,291 White Melamine,"PRO600 Full Extension, Undermount, Soft Close","Laminate, Horizontal Grain Maverik",,2
3,Jackson Hole Cabinets,Paint grade HDF,None,None,One Piece HDF,Paint (LCTS or LCP),1
2,Jackson Hole Cabinets,"Oak, White, Select Rift Cut",136 Storm Grey Melamine,"Blum Full Extension, Undermount, Soft Close","Veneer, Vertical Grain","Stain (LCWS), Glaze, Standard (LCG), 220 Scuff",4
1,Cabinets West,"Paint grade maple frame, MDF/HDF panel","55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,Paint (LCTS or LCP),37
3,Le Gourmet Kitchen Ltd.,"Oak, White, Select Quarter Sawn",None,None,5 Piece Solid Wood,Stain (LCWS),2
2,Space Home Outfitters,SALT GSDF5 - Rustic Oak,291 White Melamine,"Blum Full Extension, Undermount, Soft Close","Vertical Grain, Melamine, Laminate, Acrylic",,1
2,Homestead Cabinet & Furniture,Paint grade HDF,291 White Melamine,"Blum Full Extension, Undermount, Soft Close","Veneer, Vertical Grain",,2
3,Aspen Cabinets LLC,"Oak, White, Select Plain Sliced",None,None,5 Piece Solid Wood,"Spray or Dye Stain (LCSS, LCTG, or LCDS), One Pass Seal, Scuff",3
2,New Mountain Design,"Oak, White, AA-Blonde European Rift Cut, Veneer Only","Rift Sawn white oak, A1, Homestead Stain Finish, (AA-Euro rift grade)","Blum Full Extension, Undermount, Soft Close","Veneer, Vertical Grain","Stain (LCWS), Glaze, Standard (LCG), One Pass Seal, Scuff",1
2,Olivier Design,Walnut Select,"55 Maple Melamine, Hard Rock","Blum Full Extension, Undermount, Soft Close",5 Piece Solid Wood,"Glaze, Standard (LCG)",2
3,The Flooring Place and Design Gallery,Hickory Select Calico,None,None,5 Piece Solid Wood,"Stain (LCWS), Glaze, Standard (LCG)",1
1,Aspen Cabinets LLC,SALT GSDH2 - Rovere Grigio / CLEAF LM67 Aspen Oak Matrix/Matrix (close match),136 Storm Grey Melamine,"Blum Full Extension, Undermount, Soft Close","Vertical Grain, Melamine, Laminate, Acrylic",,7
1,The Flooring Place and Design Gallery,"Oak, White, Select Plain Sliced",291 White Melamine,"Blum Full Extension, Undermount, Soft Close","Horizontal Grain, Melamine, Laminate, Acrylic","Stain (LCWS), Glaze, Standard (LCG)",2
3,New Mountain Design,"Oak, White, Select Rift Cut",None,None,Applied Molding on 5 Piece Door,"Stain (LCWS), Powder(Dry) Glaze",2
3,Olivier Design,"Steel, Cold Rolled (Must Select Finish Option)",None,None,"Slab, Steel Clad Face, Melamine back, PVC Edge","Patina, Cold Rolled Steel, Slate Black",1
3,Creative Cabinetry,Hickory Rustic Calico,None,None,5 Piece Solid Wood,Stain (LCWS),1
1,Creative Cabinetry,Alder Rustic,291 White Melamine,"Blum Full Extension, Undermount, Soft Close",Applied Molding on 5 Piece Door,Paint (LCTS or LCP),3
3,Homestead Woods,Walnut Select,None,None,"Veneer, Horizontal Grain",Natural,2
2,Olivier Design,"Oak, White European Select Rift Cut, Veneer Only",291 White Melamine,"Blum Full Extension, Undermount, Soft Close","Veneer, Vertical Grain","Stain (LCWS), Glaze, Standard (LCG)",1
